+------------+-----+--------+----------+------------------------------------------------+----------------------------------------+----------------+
| DeviceType | Id  | Period | Point Id | Point Name                                     | Show Point Name                        | Translation Id |
| 1          | 306 | 2      | 68       | Power Generation Hours (Theoretical)           | Power Generation Hours (Theoretical)   | 1022604        |
| 1          | 326 | 3      | 1        | Daily Yield                                    | Annual Yield                           | 1022851        |
| 1          | 366 | 3      | 805      | Equivalent Power Generating Hours              | Yearly Equivalent Hours                | 1321656        |
| 1          | 368 | 3      | 67       | Daily Yield (Theoretical)                      | Yearly Yield (Theoretical)             | 1321636        |
| 1          | 369 | 3      | 68       | Power Generation Hours (Theoretical)           | Power Generation Hours (Theoretical)   | 1022604        |
| 7          | 447 | 1      | 8001     | Phase B Voltage                                | Phase B Voltage                        | 1020792        |
| 7          | 448 | 1      | 8002     | Phase C Voltage                                | Phase C Voltage                        | 1020835        |
| 7          | 449 | 1      | 8006     | Phase A Current                                | Phase A Current                        | 1018151        |
| 7          | 450 | 1      | 8007     | Phase B Current                                | Phase B Current                        | 1020789        |
| 7          | 451 | 1      | 8008     | Phase C Current                                | Phase C Current                        | 1020832        |
| 7          | 452 | 1      | 8014     | PF                                             | Power Factor PF                        | 1022254        |
| 7          | 453 | 1      | 8018     | Meter Active Power                             | Active Power                           | 1023501        |
| 7          | 454 | 1      | 8022     | Reactive Power                                 | Reactive Power Qsum                    | 1023301        |
| 7          | 455 | 1      | 8026     | Apparent Power                                 | Apparent Power Ssum                    | 1023113        |
| 7          | 456 | 1      | 8030     | Forward Active Energy                          | Forward Active Energy                  | 1023580        |
| 7          | 457 | 1      | 8031     | Reverse Active Energy                          | Reverse Active Energy                  | 1022019        |
| 7          | 458 | 1      | 8032     | Forward Reactive Energy                        | Forward Reactive Energy                | 1321692        |
| 7          | 459 | 1      | 8033     | Reverse Reactive Energy                        | Reverse Reactive Energy                | 1022016        |
| 7          | 460 | 1      | 8034     | Peak Forward Active Energy                     | Peak Forward Active Energy             | 1022089        |
| 7          | 461 | 1      | 8035     | Peak Reverse Active Energy                     | Peak Reverse Active Energy             | 1022087        |
| 7          | 462 | 1      | 8038     | Valley Forward Active Energy                   | Valley Forward Active Energy           | 1022274        |
| 7          | 463 | 1      | 8039     | Valley Reverse Active Energy                   | Valley Reverse Active Energy           | 1022272        |
| 7          | 464 | 1      | 8042     | Flat Forward Active Energy                     | Flat Forward Active Energy             | 1022897        |
| 7          | 465 | 1      | 8043     | Flat Reverse Active Energy                     | Flat Reverse Active Energy             | 1022892        |
| 7          | 466 | 1      | 8062     | Daily Forward Active Energy                    | Daily Forward Active Energy            | 1023009        |
| 7          | 467 | 1      | 8063     | Daily Reverse Active Energy                    | Daily Reverse Active Energy            | 1022983        |
| 7          | 468 | 1      | 8064     | Frequency                                      | Frequency                              | 1022866        |
| 7          | 469 | 1      | 8072     | Daily Peak Forward Active Energy               | Daily Peak Forward Active Energy       | 1022987        |
| 7          | 470 | 1      | 8065     | Daily Peak Reverse Active Energy               | Daily Peak Reverse Active Energy       | 1022986        |
| 7          | 471 | 1      | 8066     | Daily Valley Forward Active Energy             | Daily Valley Forward Active Energy     | 1022992        |
| 7          | 472 | 1      | 8067     | Daily Valley Reverse Active Energy             | Daily Valley Reverse Active Energy     | 1022991        |
| 7          | 473 | 1      | 8068     | Daily Flat Forward Active Energy               | Daily Flat Forward Active Energy       | 1022999        |
| 7          | 474 | 1      | 8069     | Daily Flat Reverse Active Energy               | Daily Flat Reverse Active Energy       | 1022998        |
